,S.NO,PLAYER NAME,JERSEY NO.,CLUB,Position,Height,Weight,NO. OF GAME PLAYED,TOTAL SCORE,AVR. SCORE PER GAME,FOULS,TECHNICAL,BLOCK,TOTAL ASSIST,AVR. ASSIST PER GAME,TOTAL REBOUND,AVR. REBOUND PER GAME,STEAL,TOTAL TURN OVER,AVR. TURNOVER PER GAME,3 POINTS ATTEMPT,3 POINTS MADE,3 PA %,2 POINT ATTEMPT,2 POINT MADE,2 PA %,FIELD GOALS ATTEMPT,FIELD GOALS MADE,FIELD GOAL %,FREE THROW ATTEMPT,FREE THROW MADE,FREE THROW ACCURACY %,EFFICIENCY,,,,,,
20,1,Harka Raj Thapa,14,TAC,Post Player,5'11,76,14,6,0.4285714286,2,0,0,2,0.1428571429,10,0.7142857143,1,5,0.3571428571,1,0,0,10,3,30,11,3,27.27272727,1,1,100,0.3571428571,18.0,13.0,5.0,14.0,,
21,2,Ashish Basnet,12,TAC,Shooting Gaurd,5'11,68,14,100,7.142857143,0,0,2,11,0.7857142857,29,2.071428571,12,23,1.642857143,23,10,43.47826087,56,35,62.5,79,45,56.96202532,18,8,44.44444444,5.357142857,142.0,67.0,75.0,14.0,,
22,3,Dhan Singh Bista,15,TAC,Post Position,5'11,80,14,4,0.2857142857,0,0,0,0,0,2,0.1428571429,0,1,0.07142857143,0,0,#DIV/0!,4,2,50,4,2,50,0,0,#DIV/0!,0.2142857143,6.0,3.0,3.0,14.0,,
23,4,Sita Ram Ghimire,11,TAC,Power Forward,5'11,76,14,6,0.4285714286,0,0,0,0,0,0,0,0,1,0.07142857143,0,1,#DIV/0!,2,2,100,2,3,150,4,2,50,0.2857142857,6.0,2.0,4.0,14.0,,
24,5,Nirmal Chaudhary,19,TAC,Shooting Gaurd,5'10,70,14,12,0.8571428571,1,0,0,2,0.1428571429,1,0.07142857143,0,2,0.1428571429,2,4,200,2,0,0,4,4,100,0,0,#DIV/0!,0.9285714286,15.0,2.0,13.0,14.0,,
25,6,Binod Maharjan,7,TAC,Small Forward,5'10,92,14,126,9,4,0,3,28,2,90,6.428571429,14,21,1.5,48,15,31.25,66,27,40.90909091,114,42,36.84210526,19,13,68.42105263,10.57142857,247.0,99.0,148.0,14.0,,
26,7,Rabin Khatri,33,TAC,Point Guard,5'8,62,14,224,16,4,0,2,63,4.5,38,2.714285714,22,27,1.928571429,85,25,29.41176471,116,70,60.34482759,201,95,47.26368159,13,8,61.53846154,13.5,327.0,138.0,189.0,14.0,,
27,8,Paresh Shrestha,23,TAC,Point Guard,5'9,84,14,59,4.214285714,5,0,4,6,0.4285714286,39,2.785714286,8,11,0.7857142857,1,0,0,26,19,73.07692308,27,19,70.37037037,11,6,54.54545455,6,108.0,24.0,84.0,14.0,,
28,9,Ayush Singh,4,TAC,Shooting Gaurd,5'8,72,14,207,14.78571429,4,0,1,27,1.928571429,52,3.714285714,18,19,1.357142857,81,35,43.20987654,72,48,66.66666667,153,83,54.24836601,46,32,69.56521739,13.14285714,287.0,103.0,184.0,14.0,,
29,10,Siddharth Maharjan,8,TAC,Point Guard,5'7,60,14,118,8.428571429,3,0,0,34,2.428571429,28,2,13,18,1.285714286,4,1,25,73,50,68.49315068,77,51,66.23376623,14,18,128.5714286,10,180.0,40.0,140.0,14.0,,
30,11,Nischal Maharjan,9,TAC,Small Forward,6'0,80,14,114,8.142857143,2,0,1,19,1.357142857,30,2.142857143,3,12,0.8571428571,61,19,31.14754098,63,24,38.0952381,124,43,34.67741935,12,10,83.33333333,4.928571429,164.0,95.0,69.0,14.0,,
31,12,Ajay Kushwaha,6,TAC,Center,6'4,75,14,115,8.214285714,5,0,23,16,1.142857143,91,6.5,5,23,1.642857143,5,1,20,98,49,50,103,50,48.54368932,34,9,26.47058824,10.28571429,245.0,101.0,144.0,14.0,,
32,13,Ram Krishna Ghatane,13,TAC,Power Forward,5'11,75,14,151,10.78571429,6,0,4,12,0.8571428571,103,7.357142857,20,20,1.428571429,1,1,100,116,74,63.79310345,117,75,64.1025641,52,28,53.84615385,13.14285714,270.0,86.0,184.0,14.0,,
33,14,Ishwor Deuja ,35,TAC,Shooting Gaurd,5'10,72,14,2,0.1428571429,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1,1,100,1,1,100,0,0,#DIV/0!,0.1428571429,2.0,0.0,2.0,14.0,,
36,1,PRASANG DHOJ MASKEY,23,NPC,Shooting Guard/Small forward,5'11,77,14,148,10.57142857,8,0,7,11,0.7857142857,38,2.714285714,9,20,1.428571429,54,18,33.33333333,77,35,45.45454545,131,53,40.45801527,23,15,65.2173913,7,204.0,106.0,98.0,14.0,,
37,2,SUDEEP POUDEL CHHETRI,13,NPC,Power Forward,6'0,77,14,54,3.857142857,5,0,5,5,0.3571428571,47,3.357142857,6,9,0.6428571429,5,2,40,42,17,40.47619048,47,19,40.42553191,11,5,45.45454545,4.857142857,111.0,43.0,68.0,14.0,,
38,3,PRAYUSH SHRESTHA,11,NPC,Guard,5'9,73,14,10,0.7142857143,8,0,0,5,0.3571428571,15,1.071428571,5,4,0.2857142857,3,0,0,7,4,57.14285714,10,4,40,5,2,40,1.214285714,30.0,13.0,17.0,14.0,,
39,4,Rupesh Khadka,6,NPC,Small Forward,6'0,63,14,4,0.2857142857,2,0,1,0,0,4,0.2857142857,0,3,0.2142857143,1,0,0,3,1,33.33333333,4,1,25,5,2,40,0,9.0,9.0,0.0,14.0,,
40,5,Bimal Karki,15,NPC,Power Forward,6'3,105,14,147,10.5,12,0,6,8,0.5714285714,58,4.142857143,3,28,2,0,0,#DIV/0!,118,65,55.08474576,118,65,55.08474576,39,17,43.58974359,8.285714286,219.0,103.0,116.0,14.0,,
